,map_simple_use,premise_age_bucketed,height_bucket,total_count,global_average_floorcount
290,Mixed Use,"1919-1944,1960-1979",11-12m,5,2.8
291,Mixed Use,"1919-1944,1960-1979",12-13m,3,3.0
292,Mixed Use,"1919-1944,1960-1979",13-14m,6,3.3333333333333335
293,Mixed Use,"1919-1944,1960-1979",14-15m,2,3.0
294,Mixed Use,"1919-1944,1960-1979",15-16m,0,
295,Mixed Use,"1919-1944,1960-1979",16-17m,1,3.0
296,Mixed Use,"1919-1944,1960-1979",17-18m,0,
297,Mixed Use,"1919-1944,1960-1979",18-19m,1,5.0
298,Mixed Use,"1919-1944,1960-1979",19-20m,0,
299,Mixed Use,"1919-1944,1960-1979",20-22m,0,
300,Mixed Use,"1919-1944,1960-1979",22-24m,0,
301,Mixed Use,"1919-1944,1960-1979",24-26m,2,8.0
302,Mixed Use,"1919-1944,1960-1979",26-28m,0,
303,Mixed Use,"1919-1944,1960-1979",28-30m,0,
304,Mixed Use,"1919-1944,1960-1979",30-35m,0,
305,Mixed Use,"1919-1944,1960-1979",35-40m,0,
306,Mixed Use,"1919-1944,1960-1979",40-45m,0,
307,Mixed Use,"1919-1944,1960-1979",45-50m,0,
308,Mixed Use,"1919-1944,1960-1979",50-55m,0,
309,Mixed Use,"1919-1944,1960-1979",55-60m,0,
310,Mixed Use,"1919-1944,1960-1979",60-70m,0,
311,Mixed Use,"1919-1944,1960-1979",70-80m,0,
312,Mixed Use,"1919-1944,1960-1979",80-90m,0,
313,Mixed Use,"1919-1944,1960-1979",90-100m,0,
314,Mixed Use,"1919-1944,1960-1979",100-200m,0,
315,Mixed Use,"1919-1944,1980-1989",0-2m,0,
316,Mixed Use,"1919-1944,1980-1989",2-3m,0,
317,Mixed Use,"1919-1944,1980-1989",3-4m,0,
318,Mixed Use,"1919-1944,1980-1989",4-5m,0,
319,Mixed Use,"1919-1944,1980-1989",5-6m,0,
320,Mixed Use,"1919-1944,1980-1989",6-7m,0,
321,Mixed Use,"1919-1944,1980-1989",7-8m,2,2.0
322,Mixed Use,"1919-1944,1980-1989",8-9m,8,2.0
323,Mixed Use,"1919-1944,1980-1989",9-10m,15,2.0
324,Mixed Use,"1919-1944,1980-1989",10-11m,6,2.1666666666666665
325,Mixed Use,"1919-1944,1980-1989",11-12m,1,3.0
326,Mixed Use,"1919-1944,1980-1989",12-13m,0,
327,Mixed Use,"1919-1944,1980-1989",13-14m,3,3.0
328,Mixed Use,"1919-1944,1980-1989",14-15m,3,3.3333333333333335
329,Mixed Use,"1919-1944,1980-1989",15-16m,2,3.5
330,Mixed Use,"1919-1944,1980-1989",16-17m,2,3.0
331,Mixed Use,"1919-1944,1980-1989",17-18m,0,
332,Mixed Use,"1919-1944,1980-1989",18-19m,0,
